Entity,Code,Year,"Meat, game | 00001163 || Production | 005510 || tonnes","Meat, horse | 00001097 || Production | 005510 || tonnes","Meat, camel | 00001127 || Production | 005510 || tonnes","Meat, sheep and goat | 00001807 || Production | 005510 || tonnes","Meat, beef and buffalo | 00001806 || Production | 005510 || tonnes","Meat, pig | 00001035 || Production | 005510 || tonnes","Meat, poultry | 00001808 || Production | 005510 || tonnes"
Africa,,1966,434120,9780.85,96051.75,878200.44,2226574.8,217894.4,464090.66
Africa,,1967,453020,10070.95,96975.75,904720.5,2228215.2,232147.83,493596.97
Africa,,1968,466890,10525.5,100984.15,957198.8,2292022.2,239928.88,521712.03
Africa,,1969,470610,10330.9,101563.3,1000206,2386284.8,257229.45,565861.44
Africa,,1970,475290,11620.45,103685.75,998132.75,2443793.2,259483.62,598260.1
Africa,,1971,481540,13103.65,102663.75,1015188,2449608.5,268502.94,623765.2
Africa,,1972,484400,13214.8,108701,1039347.8,2509114.2,289565.44,671183.1
Africa,,1973,470510,13816.85,106797.75,981457.25,2608156.2,301139.12,715908.7
Africa,,1974,481180,12594.45,104288.75,955516.6,2643081.8,294228.94,727700.94
Africa,,1975,494160,11778.5,99631.5,1005274.2,2577435.2,298313.34,796949.3
Africa,,1976,495920,12248,102962.1,1048350.25,2721184.5,311548.8,865467.7
Africa,,1977,516370,13664.4,104496.75,1095642.2,2860466,323250.38,911824.44
Africa,,1978,523280,12325.5,102564.75,1159854.2,3036691,327678.84,967865.4
Africa,,1979,533991,13475.7,104402.5,1193099,3127471.8,329662.78,1000962.25
Africa,,1980,552790,13836.5,116146.1,1233292.5,3190976.5,342197.7,1055573.4
Africa,,1981,568300,15529.25,112504.3,1262623.2,3157452.2,361315.78,1124854.6
Africa,,1982,585275,13366.75,128043.05,1248973,3281764,373641.56,1207122
Africa,,1983,598175,12791.45,128120.45,1281693.9,3358073.2,382538.22,1323814.9
Africa,,1984,611725,9798.6,137115.9,1301843.5,3448556.5,401875.47,1417715.8
Africa,,1985,623425,10441.77,136763.64,1318216.4,3480370.5,417523.34,1494095.6
Africa,,1986,644250,10094.67,131912.88,1305355.5,3352274.5,448220.2,1587055
Africa,,1987,656325,10620.75,124051.15,1409533.9,3291350.2,487233.1,1670438
Africa,,1988,667650,11580.08,134171.45,1506612.2,3311870.2,507847.75,1687668.1
Africa,,1989,681825,12235.9,148561.81,1573815.9,3384411.8,561242.94,1756291.9
Africa,,1990,688851,12994.78,156160.08,1589671.6,3502878.8,631371.6,1952252.8
Africa,,1991,679018.06,12629.85,159348.7,1588824.8,4131838.5,663867.3,1980243.1
Africa,,1992,643106,12275.19,165776.55,1629130.5,4279511.5,705084.94,2026713.8
Africa,,1993,707301,12499.64,158791.62,1599067,4112808.8,729243.3,2047797.9
Africa,,1994,722109.5,12762.05,173466.66,1626081.9,4054017.2,748522.4,2161857.5
Africa,,1995,736878.56,12970.15,185535.3,1697748.9,4093109.2,807173.7,2313829.5
Africa,,1996,749372.75,13158.94,197202.4,1748103.9,4202457,825729.6,2440451.8
Africa,,1997,763775,12970.93,199400.44,1834268,4599330,856578.6,2680333.5
Africa,,1998,782244.3,13131.25,210258.42,1946178.1,4472151,874555.75,2712759.8
Africa,,1999,796123.06,13322.12,220023.88,2053358.9,4712345,889857.6,2806133.2
Africa,,2000,813660.06,13771.02,217799.55,2078972,4691966,917469.44,2971888.2
Africa,,2001,831030.7,14619.54,228780.48,2178666.5,4729481,944400.2,3212532.2
Africa,,2002,846643.4,14671.54,225544.8,2221634.2,4979959,988317.3,3408400.2
Africa,,2003,866753.8,15042.72,234774.55,2286662,5003642.5,1016307.5,3389351.8
Africa,,2004,886461.44,15227.92,241879.38,2362104.2,5084757,1060743,3439559.5
Africa,,2005,904226.9,15337.3,207264.31,2473436.5,5358945,1102053.4,3585533.8
Africa,,2006,924255.06,14997.56,247391.62,2529376.2,5503529,1134661.1,3633004
Africa,,2007,941322.5,15597.14,293140.9,2622623,5621380,1172361.9,4044698
Africa,,2008,982401.3,16206.24,325174.28,2653453,5798739,1227666,4312423.5
Africa,,2009,1011945.6,16509.81,315234.72,2714882.5,5979341.5,1262709,4501082
Africa,,2010,1044326.3,16616.7,334460.06,2845913,6265119,1310276.5,4806763
Africa,,2011,1087170.9,16820.54,348519.88,2886414.5,6371960.5,1364553.5,4927989.5
Africa,,2012,1101722.8,16613.95,357280.2,2831663.2,6416365,1437652,5052541
Africa,,2013,1103113.1,16349.78,357792.03,2930390.8,6705926.5,1495486.5,5420580.5
Africa,,2014,1114328.4,16123.74,357281.94,3008993.2,6720110.5,1565379.1,5683458
Africa,,2015,1160049.6,16299.98,365452.28,3096604.8,6972292,1609957.5,5918762.5
Africa,,2016,1141786.9,17049.16,359414.47,3153991,6674605,1659795.4,5953848
Africa,,2017,1160185.9,17185.1,365110.25,3105660.2,6701904.5,1740759.6,6468504.5
Africa,,2018,1174029.5,16530.63,339574.1,3195097,6876244,1912190.1,6754194.5
Africa,,2019,1183361.5,16817.56,390083.9,3341111.8,7004860.5,1891944.4,7063410.5
Africa,,2020,1193363.9,16827.45,378588.22,3441950.2,6879880.5,1964515.1,7592712.5
Africa,,2021,1202713,16841.75,368823.4,3428910.8,7025755.5,1972913.4,8075395.5
Africa,,2022,1208899.1,17032.54,356479.28,3415895.8,7091010.5,2182047,7787663
Africa,,2023,1222770.5,16945.78,384401.3,3495030.5,7275212,2118645.8,7879964
Africa (FAO),,1961,393610,8306.4,69009.3,777949.5,1960373.1,184915.16,361473.44
Africa (FAO),,1962,398040,8961.45,71466.1,782783.8,1971816.4,190929.9,377683.3
Africa (FAO),,1963,405720,8846.95,76800.4,779859.8,2037819.6,195043.52,392365.62
Africa (FAO),,1964,422590,9528.35,78750.95,802413.75,2114745.5,206641.56,415617.7
Africa (FAO),,1965,429630,10260.8,85154.5,841489.3,2163356,212581.62,435546.38
Africa (FAO),,1966,434120,9780.85,96051.75,878200.44,2226574.8,217894.4,464090.66
Africa (FAO),,1967,453020,10070.95,96975.75,904720.5,2228215.2,232147.83,493596.94
Africa (FAO),,1968,466890,10525.5,100984.15,957198.8,2292022.2,239928.88,521712.03
Africa (FAO),,1969,470610,10330.9,101563.3,1000206,2386284.8,257229.45,565861.44
Africa (FAO),,1970,475290,11620.45,103685.75,998132.75,2443793.2,259483.62,598260.2
Africa (FAO),,1971,481540,13103.65,102663.75,1015188,2449608.5,268502.94,623765.2
Africa (FAO),,1972,484400,13214.8,108701,1039347.8,2509114.2,289565.44,671183.1
Africa (FAO),,1973,470510,13816.85,106797.75,981457.25,2608156.2,301139.12,715908.7
Africa (FAO),,1974,481180,12594.45,104288.75,955516.7,2643081.8,294228.94,727700.94
Africa (FAO),,1975,494160,11778.5,99631.5,1005274.2,2577435.2,298313.34,796949.3
Africa (FAO),,1976,495920,12248,102962.1,1048350.25,2721184.5,311548.8,865467.7
Africa (FAO),,1977,516370,13664.4,104496.75,1095642.2,2860466,323250.38,911824.44
Africa (FAO),,1978,523280,12325.5,102564.75,1159854.2,3036691,327678.84,967865.4
Africa (FAO),,1979,533991,13475.7,104402.5,1193099,3127471.8,329662.78,1000962.25
Africa (FAO),,1980,552790,13836.5,116146.1,1233292.5,3190976.5,342197.66,1055573.4
Africa (FAO),,1981,568300,15529.25,112504.3,1262623.2,3157452.2,361315.78,1124854.6
Africa (FAO),,1982,585275,13366.75,128043.05,1248973,3281764,373641.53,1207122
Africa (FAO),,1983,598175,12791.45,128120.45,1281693.9,3358073.2,382538.22,1323814.9
Africa (FAO),,1984,611725,9798.6,137115.9,1301843.5,3448556.5,401875.47,1417715.8
Africa (FAO),,1985,623425,10441.78,136763.64,1318216.4,3480370.5,417523.34,1494095.6
Africa (FAO),,1986,644250,10094.67,131912.88,1305355.5,3352274.5,448220.2,1587055
Africa (FAO),,1987,656325,10620.75,124051.15,1409533.9,3291350.2,487233.1,1670438
Africa (FAO),,1988,667650,11580.08,134171.45,1506612.2,3311870.2,507847.75,1687668.1
Africa (FAO),,1989,681825,12235.9,148561.81,1573815.9,3384411.8,561242.94,1756291.9
Africa (FAO),,1990,688851,12994.77,156160.08,1589671.6,3502878.8,631371.6,1952252.8
Africa (FAO),,1991,679018.06,12629.85,159348.72,1588824.8,4131838.5,663867.3,1980243.1
Africa (FAO),,1992,643106,12275.2,165776.55,1629130.5,4279511.5,705084.94,2026713.8
Africa (FAO),,1993,707301,12499.64,158791.61,1599067,4112808.8,729243.3,2047798
Africa (FAO),,1994,722109.5,12762.05,173466.66,1626081.9,4054017.2,748522.4,2161857.5
Africa (FAO),,1995,736878.56,12970.16,185535.31,1697748.9,4093109.2,807173.6,2313829.5
Africa (FAO),,1996,749372.8,13158.95,197202.4,1748103.9,4202457,825729.7,2440451.8
Africa (FAO),,1997,763775,12970.92,199400.44,1834268,4599330,856578.6,2680333.5
Africa (FAO),,1998,782244.3,13131.25,210258.44,1946178.1,4472151,874555.75,2712759.8
Africa (FAO),,1999,796123.06,13322.13,220023.88,2053358.9,4712345,889857.6,2806133.2
Africa (FAO),,2000,813660.06,13771.03,217799.53,2078972,4691966,917469.44,2971888.2
Africa (FAO),,2001,831030.7,14619.53,228780.48,2178666.5,4729481,944400.2,3212532.2
Africa (FAO),,2002,846643.4,14671.53,225544.78,2221634.2,4979959,988317.3,3408400.2
Africa (FAO),,2003,866753.9,15042.71,234774.56,2286662,5003643,1016307.5,3389351.8
Africa (FAO),,2004,886461.44,15227.91,241879.38,2362104.2,5084757,1060743,3439559.5
Africa (FAO),,2005,904226.9,15337.3,207264.31,2473436.5,5358945,1102053.4,3585533.8
Africa (FAO),,2006,924255.1,14997.55,247391.62,2529376.2,5503529,1134661.1,3633004
Africa (FAO),,2007,941322.5,15597.14,293140.9,2622623,5621380,1172362,4044698
Africa (FAO),,2008,982401.3,16206.24,325174.28,2653453,5798739,1227666,4312423.5
Africa (FAO),,2009,1011945.6,16509.81,315234.72,2714882.5,5979341.5,1262709,4501082
Africa (FAO),,2010,1044326.3,16616.7,334460.06,2845913,6265119,1310276.5,4806763
Africa (FAO),,2011,1087170.9,16820.54,348519.88,2886414.5,6371960.5,1364553.5,4927989.5
Africa (FAO),,2012,1101722.8,16613.94,357280.2,2831663.2,6416365,1437652,5052541
Africa (FAO),,2013,1103113.1,16349.78,357792.03,2930390.8,6705926.5,1495486.5,5420580.5
Africa (FAO),,2014,1114328.4,16123.75,357281.94,3008993.2,6720110.5,1565379.1,5683458
Africa (FAO),,2015,1160049.6,16299.98,365452.28,3096604.8,6972292,1609957.5,5918762.5
Africa (FAO),,2016,1141786.9,17049.17,359414.47,3153991,6674605,1659795.4,5953848
Africa (FAO),,2017,1160185.9,17185.1,365110.25,3105660.2,6701904.5,1740759.6,6468504.5
Africa (FAO),,2018,1174029.5,16530.65,339574.1,3195097,6876244,1912190.1,6754194.5
Africa (FAO),,2019,1183361.4,16817.55,390083.9,3341111.8,7004860.5,1891944.4,7063410.5
Africa (FAO),,2020,1193363.9,16827.44,378588.2,3441950.5,6879880.5,1964515.1,7592712.5
Africa (FAO),,2021,1202713,16841.73,368823.38,3428910.8,7025755.5,1972913.4,8075395.5
Africa (FAO),,2022,1208899.1,17032.54,356479.28,3415895.8,7091010.5,2182047,7787663
Africa (FAO),,2023,1222770.5,16945.78,384401.34,3495030.5,7275212,2118645.8,7879964
Albania,ALB,1961,,,,13000,7300,3580,1530
Albania,ALB,1962,,,,13100,7400,3640,1580
Albania,ALB,1963,,,,12500,7600,3200,1700
Albania,ALB,1964,,,,12600,6000,3200,1900
Albania,ALB,1965,,,,12600,6600,3640,2385
Albania,ALB,1966,,,,12800,6900,4300,2900
Albania,ALB,1967,,,,16200,8460,4880,3000
Albania,ALB,1968,,,,14050,7400,5570,3200
Albania,ALB,1969,,,,12100,8900,6100,3400
Albania,ALB,1970,,,,11600,9900,6280,3400
Albania,ALB,1971,,,,11725,10700,6440,3800
Albania,ALB,1972,,,,11160,10600,6560,3900
Albania,ALB,1973,,,,11150,10500,6160,4300
Albania,ALB,1974,,,,11400,10900,6400,4750
Albania,ALB,1975,,,,11600,9900,6400,5300
Albania,ALB,1976,,,,11900,12270,6600,5900
Albania,ALB,1977,,,,11340,11200,6800,6300
Albania,ALB,1978,,,,12400,13500,6800,6800
Albania,ALB,1979,,,,12600,14100,7000,7300
Albania,ALB,1980,,,,12600,14400,7000,7800
Albania,ALB,1981,,,,12600,14500,8800,8250
Albania,ALB,1982,,,,11900,14500,8800,8800
Albania,ALB,1983,,,,11400,14900,9200,7900
Albania,ALB,1984,,,,9900,14600,9600,7500
Albania,ALB,1985,,,,9800,16500,10400,6000
Albania,ALB,1986,,,,9000,15400,11200,6000
Albania,ALB,1987,,,,9600,16500,11200,6000
Albania,ALB,1988,,,,10900,18700,12000,6000
Albania,ALB,1989,,,,12000,19800,12000,6750
Albania,ALB,1990,,,,12000,22000,13300,6700
Albania,ALB,1991,,,,12500,21100,9000,6300
Albania,ALB,1992,,,,14800,23400,10600,2500
Albania,ALB,1993,,,,15200,24300,12500,3300
Albania,ALB,1994,,,,18500,28300,13550,3700
Albania,ALB,1995,,,,18300,30800,13600,3900
Albania,ALB,1996,,,,16600,32600,6360,3500
Albania,ALB,1997,,,,15700,32500,6600,3700
Albania,ALB,1998,,,,16700,32000,6500,5100
Albania,ALB,1999,,,,18100,33700,6200,5000
Albania,ALB,2000,,,,19500,35900,7800,4000
Albania,ALB,2001,,,,19463.93,35300,7800,4000
Albania,ALB,2002,,,,19500,37600,8600,6000
Albania,ALB,2003,,,,19500,40000,8600,8000
Albania,ALB,2004,,,,21400,39600,10100,9000
Albania,ALB,2005,,,,20900,40800,11300,9000
Albania,ALB,2006,,,,20990,48651,11250,10000
Albania,ALB,2007,,,,27400,49775,12500,13000
Albania,ALB,2008,,,,20700,39600,12500,16000
Albania,ALB,2009,,,,21600,39000,12500,17000
Albania,ALB,2010,,,,21000,40800,12500,17000
Albania,ALB,2011,,,,21800,41200,13100,17100
Albania,ALB,2012,,,,23040,41460,13260,16000
Albania,ALB,2013,,,,23280,41820,13494,17000
Albania,ALB,2014,,,,24751,38070,11900,12775
Albania,ALB,2015,,,,26251,38556,11424,14065
Albania,ALB,2016,,,,26300,38880,11424,14257.07
Albania,ALB,2017,,,,26235,39017,11561,14414.11
Albania,ALB,2018,,,,31434.18,38543.94,10316.72,17076.01
Albania,ALB,2019,,,,24887.96,36709.36,10231.68,13127.24
Albania,ALB,2020,,,,23668.53,32869.95,9002.01,13787.41
Albania,ALB,2021,,,,22933,31712,9370,14486
Albania,ALB,2022,,,,24884.43,29736.3,8500.8,17546.57
Albania,ALB,2023,,,,23138,28412,6532,17967
Algeria,DZA,1961,,660,1950,39900,23000,40,14290
Algeria,DZA,1962,,660,1950,37900,21000,40,15610
Algeria,DZA,1963,,520,1950,34213.02,19301,40,16620
Algeria,DZA,1964,,600,2080,37734.52,20600,80,18250
Algeria,DZA,1965,,780,1950,39444.03,23500,92,20090
Algeria,DZA,1966,,600,2080,38035.3,25300,36,21720
Algeria,DZA,1967,,660,1950,37700,28200,40,23168
Algeria,DZA,1968,,540,1950,44895,32400,49.76,24670
Algeria,DZA,1969,,660,1950,46743,33700,74.68,25990
Algeria,DZA,1970,,688,2080,50000,29800,80,27210
Algeria,DZA,1971,,655,1009,51260,37695,80,28650
Algeria,DZA,1972,,937,1205,52654,41938,80,30150
Algeria,DZA,1973,,1372,1426,55424,43877,82,32150
Algeria,DZA,1974,,1143,1124,53504,47710,80,34150
Algeria,DZA,1975,,1005,1952,54940,46020,80,36150
Algeria,DZA,1976,,1000,1200,58280,47000,80,38150
Algeria,DZA,1977,,1781,1414,60060,49820,80,40150
Algeria,DZA,1978,,1542,1100,63513,44482,82,42150
Algeria,DZA,1979,,1902,1350,70062,44800,82,44150
Algeria,DZA,1980,,1950,1350,71433,44800,84,60150
Algeria,DZA,1981,,1950,1400,74733,43700,88,72150
Algeria,DZA,1982,,1800,1500,84845,48000,88,88150
Algeria,DZA,1983,,1950,1170,81070,65600,88,100165
Algeria,DZA,1984,,1040,1248,88550,47500,92,150220
Algeria,DZA,1985,,1105,1400,86140,66800,96,160220
Algeria,DZA,1986,,728,1500,88148,66360,100,170230
Algeria,DZA,1987,,767,1600,115243,73552,100,172230
Algeria,DZA,1988,,780,1700,119082,81000,104,182240
Algeria,DZA,1989,,780,1800,137173,85000,108,186250
Algeria,DZA,1990,,737,2000,142405,89500,112,194260
Algeria,DZA,1991,,26,2000,153795.88,94270,116,197275
Algeria,DZA,1992,,23,2000,167059.95,96500,120,200873.23
Algeria,DZA,1993,,22,2000,181101.56,98200,120,206842.83
Algeria,DZA,1994,,21,2000,181900.4,100600,128,213957.48
Algeria,DZA,1995,,20,2306.88,183527.33,100600,128,213200.33
Algeria,DZA,1996,,18,2547.66,193670.2,99000,128,221554.95
Algeria,DZA,1997,,17,2907.16,183165.98,102000,128,228005.48
Algeria,DZA,1998,,14,3064.85,183931.11,103000,128,254536.62
Algeria,DZA,1999,,14,4510.85,180639.1,116980,128,243133.72
Algeria,DZA,2000,,14,4961.94,181891.73,132600,128,252782.8
Algeria,DZA,2001,,13,5379.1,183208.98,105000,128,250470.6
Algeria,DZA,2002,,14,5658.81,184377.25,116000,128,259184.42
Algeria,DZA,2003,,14,5930.66,185112.38,121000,128,270912.16
Algeria,DZA,2004,,14,6616.48,193542.72,125000,128,272642.1
Algeria,DZA,2005,,13,6678.46,200493.34,120000,128,274362.56
Algeria,DZA,2006,,13,7377.2,208831.47,122000,120,276061.72
Algeria,DZA,2007,,14,7777.98,211597.69,123000,124,278727.12
Algeria,DZA,2008,,14,8183.03,202775.72,125000,128,280345.34
Algeria,DZA,2009,,14,8678.04,222298.31,130500,128,281900.44
Algeria,DZA,2010,,13,9443.03,232282.95,126126,124,281377.56
Algeria,DZA,2011,,14,9947.98,279410.94,125386,116,288756.78
Algeria,DZA,2012,,14,11318.06,289400.66,135674,120,294017.44
Algeria,DZA,2013,,14,11756.88,310727.16,139948,120,300137.38
Algeria,DZA,2014,,13,12402.16,327379.34,145724,116.69,340129.6
Algeria,DZA,2015,,13,12925.52,336811.47,155037,116.01,358834.84
Algeria,DZA,2016,,14,13728.31,354711.2,164268,116.65,380264
Algeria,DZA,2017,,14,14900,362614.4,166291.23,116.65,400005.8
Algeria,DZA,2018,,13,14500,361308,153192,116.03,413216.8
Algeria,DZA,2019,,13,13400,362690,151590,115.96,418778.88
Algeria,DZA,2020,,13.9,14718.3,371905.7,144246,111.15,530756
Algeria,DZA,2021,,17.3,14663.4,380633.6,146270,109.4,418561
Algeria,DZA,2022,,16,15144.38,384931.1,140000,108,443271.25
Algeria,DZA,2023,,16,15913.96,398936.97,138000,106.59,458093.9
Americas (FAO),,1961,247000,152073.6,,816754.8,13484375,7238271.5,4095161.2
Americas (FAO),,1962,233000,157679.25,,810850.6,13820015,7462178,4065022
Americas (FAO),,1963,247000,176610.34,,771383.2,14652538,7719834.5,4289382
Americas (FAO),,1964,247800,210253.45,,732639.25,15304249,7810284.5,4502023
Americas (FAO),,1965,248500,203646.34,,743066,15513791,7245990.5,4873209
Americas (FAO),,1966,252024,195768,,776623.25,16150722,7446902.5,5290113
Americas (FAO),,1967,254525,202615.95,,771259,16609987,8129254,5544670.5
Americas (FAO),,1968,256744,215115,,779460.56,17358132,8365752,5507645.5
Americas (FAO),,1969,271927,220629.05,,734859.3,17922032,8341821.5,5852736
Americas (FAO),,1970,276674,222354.84,,745883.9,17973980,8780596,6336860.5
Americas (FAO),,1971,267213,214995.1,,739591.44,17364424,9588582,6419238.5
Americas (FAO),,1972,288800,224516.55,,684334.06,18004020,9060174,6779997
Americas (FAO),,1973,274500,248072.2,,647788.75,17439434,8726299,6874044
Americas (FAO),,1974,280850,214840.45,,616417.6,18366686,9298030,7083934.5
Americas (FAO),,1975,276200,231796.75,,601423.5,19665446,8301161,6966672
Americas (FAO),,1976,272500,257503.25,,582148.6,21543674,8857580,7726070
Americas (FAO),,1977,273800,253208.1,,569336.44,21405694,9418596,7980693.5
Americas (FAO),,1978,273000,266450.84,,536530.25,21195326,9649747,8517109
Americas (FAO),,1979,275100,266667.25,,528567.2,19551822,10918218,9510147
Americas (FAO),,1980,266520,235355.6,,518562.22,19803558,11749025,10206235
Americas (FAO),,1981,267810,229380.81,,550089.9,20627452,11462810,10907594
Americas (FAO),,1982,265500,210716.34,,563845.94,20365148,10654690,11167678
Americas (FAO),,1983,264830,196676.77,,567052.2,20930798,11270499,11352560
Americas (FAO),,1984,251120,210043.25,,558825.2,21189602,10964622,11533072
Americas (FAO),,1985,251220,208607.9,,558942.8,21719930,10896933,12193775
Americas (FAO),,1986,252220,211564.9,,569757.3,22571330,10343356,13031175
Americas (FAO),,1987,249053,234878.48,,558273.06,21684726,10661197,14285762
Americas (FAO),,1988,247997,253241.19,,581994.06,22185514,11396655,14884203
Americas (FAO),,1989,246000,264741.2,,597909.06,22292634,11218636,15461069
Americas (FAO),,1990,202344,268607.25,,616584.25,22486340,11011052,16749591
Americas (FAO),,1991,248005,268507.16,,626733.1,22505916,11455380,18079034
Americas (FAO),,1992,256407,265700.88,,610881.75,22627510,12249573,19294096
Americas (FAO),,1993,256622,245263.81,,609369.56,22840552,12528437,20600064
Americas (FAO),,1994,266998,220467.45,,615526.25,23358510,13149550,22062552
Americas (FAO),,1995,272958.7,218803.44,,597171.5,24561994,13466960,23741422
Americas (FAO),,1996,272037,216487.47,,541953.8,25600632,13161844,24562826
Americas (FAO),,1997,272822,220124.33,,537981.6,25745144,13391655,25790378
Americas (FAO),,1998,278595,214369.14,,527368.5,25485738,14705633,26868962
Americas (FAO),,1999,288378,227876.89,,534464.94,26503576,15170997,28876002
Americas (FAO),,2000,288728.2,233964.25,,541766.5,27114922,15224308,30161958
Americas (FAO),,2001,281835,250492.75,,573009.25,27122396,15540012,31419684
Americas (FAO),,2002,289533.06,244583.05,,525076.56,27306220,16087215,32810466
Americas (FAO),,2003,291649,248993.34,,522638.12,27924594,16475748,33673300
Americas (FAO),,2004,284384,223787.34,,511058.72,28893990,16886794,35610444
Americas (FAO),,2005,286054,233291.34,,515599.84,29324558,16800600,36174440
Americas (FAO),,2006,295647,232210.5,,524235.38,29893650,17136682,37196400
Americas (FAO),,2007,302054,211249.69,,522559.53,30988368,17947374,39026660
Americas (FAO),,2008,306328,207965.3,,526056.75,30939086,18689924,41276772
Americas (FAO),,2009,306621,199699.02,,525245.75,30987090,18650168,40486804
Americas (FAO),,2010,306543.44,195836.5,,541350.7,30236584,18490174,42196856
Americas (FAO),,2011,306520,194435.2,,534565.6,30150256,18869770,43688652
Americas (FAO),,2012,310742.2,189834.6,,526266,30528562,19232862,44096804
Americas (FAO),,2013,312734.2,180765.39,,531576.3,31054476,19178682,45095724
